VERSE,SCRIPTURE
Verse 1,"Ubusisiwe umuntu ongahambi ngeziluleko zababi, ongemi endleleni yezoni, ongahlali enkundleni yabaklolodayo,  "
Verse 2,"kepha okuthokoza kwakhe kusemthethweni kaJehova, ozindla ngomthetho wakhe imini nobusuku.  "
Verse 3,"Unjengomuthi otshaliwe ngasemifuleni yamanzi, othela isithelo sawo ngesikhathi sawo, oqabunga lawo lingabuni, nakho konke akwenzayo uyakuba nenhlanhla kukho.  "
Verse 4,"Ababi abanjalo, kepha banjengamakhoba aphephethwa ngumoya.  "
Verse 5,"Ngalokho ababi abayikuma ekwahlulelweni, nezoni ebandleni labalungileyo.  "
Verse 6,"Ngokuba uJehova uyayazi indlela yabalungileyo, kodwa indlela yababi yobhubha."
Verse 7,
Verse 8,
Verse 9,
Verse 10,
Verse 11,
Verse 12,
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 18,
Verse 19,
Verse 20,
Verse 21,
Verse 22,
Verse 23,
Verse 24,
Verse 25,
Verse 26,
Verse 27,
Verse 28,
Verse 29,
Verse 30,
Verse 31,
Verse 32,
Verse 33,
Verse 34,
Verse 35,
Verse 36,
Verse 37,
Verse 38,
Verse 39,
Verse 1,"Kungani ukuba abezizwe baxokozele, nabantu bazindle ngokuyize na?  "
Verse 2,"Amakhosi omhlaba ayazihlanganisa, nababusi baceba icebo ngoJehova nangogcotshiweyo wakhe ngokuthi:  "
Verse 3,"“Masigqabule izibopho zabo, silahle izintambo zabo, zisuke kithina.”  "
Verse 4,"Yena ohlezi ezulwini uyahleka, iNkosi iyabadelela.  "
Verse 5,"Ibisikhuluma kubo ngentukuthelo yayo, ibethuse ngolaka lwayo, ithi:  "
Verse 6,"“Nokho ngibekile iNkosi yami eSiyoni, intaba yami engcwele.”  "
Verse 7,Ngizakulanda ngesinqumo: uJehova wathi kimi: “Uyindodana yami wena; namuhla ngikuzele.  
Verse 8,"Cela kimi, ngikunike abezizwe babe yifa lakho, nemikhawulo yomhlaba ibe yimfuyo yakho.  "
Verse 9,"Uzakubaphula ngentonga yensimbi, ubaphahlaze njengesitsha sombumbi.”  "
Verse 10,Ngakho hlakaniphani nina makhosi; yalekani nina bahluleli bomhlaba.  
Verse 11,"Mkhonzeni uJehova ngokwesaba, nethabe ngokuthuthumela.  "
Verse 12,"Yangeni indodana, ingaze ithukuthele, nibhubhe endleleni, ngokuba ulaka lwayo luyakuvutha masinyane. Babusisiwe bonke abaphephela kuyo."
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 18,
Verse 19,
Verse 20,
Verse 21,
Verse 22,
Verse 1,"Hhawu, Jehova, ziningi izitha zami. Baningi abangivukelayo.  "
Verse 2,Baningi abathi emphefumulweni wami: Sela*  
Verse 3,"Kepha wena Jehova uyisihlangu kimi, uludumo lwami nophakamisa ikhanda lami.  "
Verse 4,Ngezwi lami ngiyakhala kuJehova; Sela*  
Verse 5,"Ngalala phansi, ngazunywa ngubuthongo; ngavuka, ngokuba uJehova ungiphasile.  "
Verse 6,Angesabi amashumi ezinkulungwane zabantu abangihaqile nxazonke.  
Verse 7,"Vuka, Jehova, ungisindise, Nkulunkulu wami, ngokuba zonke izitha zami uzishayile emhlathini, amazinyo ababi uwaphulile.  "
Verse 8,Insindiso ingekaJehova; Sela*
Verse 9,
Verse 10,
Verse 11,
Verse 12,
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 1,"Ngiphendule ekukhaleni kwami, Nkulunkulu wokulunga kwami. Ekucindezelweni wangenzela indawo; yiba nomusa kimi, uzwe umkhuleko wami.  "
Verse 2,"Madodana abantu, koze kube nini ubukhosi bami budunyazwa na? Koze kube nini nithanda okuyize, Sela*  "
Verse 3,Yazini ukuthi uJehova uzahlukanisele omesabayo; uJehova uyezwa lapha ngikhala kuye.  
Verse 4,"Thukuthelani ningoni; zindlani enhliziyweni yenu okhukhweni lwenu, Sela*  "
Verse 5,"Nikelani iminikelo yokulunga, nethembe uJehova.  "
Verse 6,"Baningi abathi: “Ngubani oyakusibonisa okuhle na?” Jehova, phakamisa ukukhanya kobuso bakho phezu kwethu.  "
Verse 7,Ubeke injabulo enhliziyweni yami edlula eyamabele abo newayini labo sekuvamile.  
Verse 8,"Ngizakucambalala ngokuthula, ngilale ubuthongo, ngokuba wena Jehova wedwa ungihlalisa ngokulondeka."
Verse 9,
Verse 10,
Verse 11,
Verse 12,
Verse 13,
Verse 1,"Yizwa amazwi ami, Jehova, uqaphele ukuzindla kwami.  "
Verse 2,"Yizwa izwi lokukhala kwami, Nkosi yami, Nkulunkulu wami, ngokuba ngithandaza kuwe.  "
Verse 3,"Jehova, ekuseni uyalizwa izwi lami; ekuseni ngiyakuzibika kuwe, ngilinde.  "
Verse 4,Ngokuba wena awusiye uNkulunkulu othanda okubi; omubi akanakuhlala kuwe.  
Verse 5,Abazidlayo abayikuma phambi kwamehlo akho; uyabazonda bonke abenza okubi.  
Verse 6,Uyabhubhisa abakhuluma amanga; uJehova uyamenyanya umuntu wegazi nowenkohliso.  
Verse 7,"Kepha mina ngiyakungena endlini yakho ngobuningi bomusa wakho, ngikhothame ngokukuhlonipha, ngibhekene nendawo yakho engcwele.  "
