VERSE,SCRIPTURE
Verse 1,"Blessed is the one who does not walk in step with the wicked or stand in the way that sinners take or sit in the company of mockers,  "
Verse 2,"but whose delight is in the law of the Lord, and who meditates on his law day and night.  "
Verse 3,"That person is like a tree planted by streams of water, which yields its fruit in season and whose leaf does not wither� whatever they do prospers.  "
Verse 4,Not so the wicked! They are like chaff that the wind blows away.  
Verse 5,"Therefore the wicked will not stand in the judgment, nor sinners in the assembly of the righteous.  "
Verse 6,"For the Lord watches over the way of the righteous, but the way of the wicked leads to destruction."
Verse 1,Why do the nations conspire#: Hebrew; Septuagint rage and the peoples plot in vain?  
Verse 2,"The kings of the earth rise up and the rulers band together against the Lord and against his anointed, saying,  "
Verse 3,“Let us break their chains and throw off their shackles.”  
Verse 4,The One enthroned in heaven laughs; the Lord scoffs at them.  
Verse 5,"He rebukes them in his anger and terrifies them in his wrath, saying,  "
Verse 6,"“I have installed my king on Zion, my holy mountain.”  "
Verse 7,"I will proclaim the Lord’s decree: He said to me, “You are my son; today I have become your father.  "
Verse 8,"Ask me, and I will make the nations your inheritance, the ends of the earth your possession.  "
Verse 9,You will break them with a rod of iron#: Or will rule them with an iron scepter (see Septuagint and Syriac); you will dash them to pieces like pottery.”  
Verse 10,"Therefore, you kings, be wise; be warned, you rulers of the earth.  "
Verse 11,Serve the Lord with fear and celebrate his rule with trembling.  
Verse 12,"Kiss his son, or he will be angry and your way will lead to your destruction, for his wrath can flare up in a moment. Blessed are all who take refuge in him."
Verse 13,
Verse 14,
Verse 1," Lord, how many are my foes! How many rise up against me!  "
Verse 2,"Many are saying of me, “God will not deliver him.”#: The Hebrew has Selah (a word of uncertain meaning) here and at the end of verses  and .  "
Verse 3,"But you, Lord, are a shield around me, my glory, the One who lifts my head high.  "
Verse 4,"I call out to the Lord, and he answers me from his holy mountain.  "
Verse 5,"I lie down and sleep; I wake again, because the Lord sustains me.  "
Verse 6,I will not fear though tens of thousands assail me on every side.  
Verse 7,"Arise, Lord! Deliver me, my God! Strike all my enemies on the jaw; break the teeth of the wicked.  "
Verse 8,From the Lord comes deliverance. May your blessing be on your people.
